sample_ID,site,timestamp,pCH4_uatm,CH4_uM,CH4_notes,pCO2_uatm,CO2_uM,CO2_notes,pN2O_uatm,N2O_uM,N2O_notes
MART.SS.20180911,MART,9/11/2018 18:06,8.03,0.015,,1338,65.4,,0.471,0.018,
MART.SS.20180913,MART,9/13/2018 18:15,2.06,0.004,,951,47.6,,0.386,0.015,
MART.SS.20181009,MART,10/9/2018 18:26,3.09,0.006,,1105,56.3,,0.505,0.02,
MART.SS.20181101,MART,11/1/2018 17:59,2.93,0.006,,1296,66.7,,0.335,0.013,
MART.SS.20181114,MART,11/14/2018 17:21,1.4,0.003,,655,39.3,,0.238,0.011,
MART.SS.20181129,MART,11/29/2018 17:48,2.49,0.006,,726,42.2,,0.341,0.015,
MART.SS.20181203,MART,12/3/2018 17:44,1.56,0.003,,858,50.8,,0.226,0.01,
MART.SS.20181211,MART,12/11/2018 18:35,5.12,0.012,,624,38.9,,0.124,0.006,
MART.SS.20181217,MART,12/17/2018 18:47,0.01,0,BDL,1267,74.1,,0.371,0.017,
MART.SS.20190108,MART,1/8/2019 18:24,1.31,0.003,,958,59,,0.36,0.017,
MART.SS.20190117,MART,1/17/2019 19:56,0.67,0.002,,549,34.5,,0.258,0.013,
MART.SS.20190131,MART,1/31/2019 19:22,0.25,0.001,,481,30,,0.288,0.014,
MART.SS.20190214,MART,2/14/2019 20:01,0.01,0,BDL,903,62.3,,0.497,0.027,
MART.SS.20190219,MART,2/19/2019 18:33,0.42,0.001,,813,51.4,,0.168,0.008,
MART.SS.20190228,MART,2/28/2019 19:40,3.53,0.009,,1688,113.5,,0.334,0.018,
MART.SS.20190312,MART,3/12/2019 17:07,2.39,0.006,,1003,66,,0.619,0.032,
MART.SS.20190409,MART,4/9/2019 18:15,2.97,0.007,,672,40,,0.276,0.013,
MART.SS.20190411,MART,4/11/2019 17:31,3.4,0.008,,713,42.4,,0.296,0.014,
MART.SS.20190416,MART,4/16/2019 18:00,1.67,0.004,,609,35.9,,0.367,0.017,
MART.SS.20190425,MART,4/25/2019 17:05,4.69,0.01,,624,35.7,,0.34,0.015,
MART.SS.20190507,MART,5/7/2019 16:30,1.48,0.003,,779,42.3,,0.281,0.012,
MART.SS.20190516,MART,5/16/2019 17:47,2.29,0.005,,872,47.5,,0.269,0.011,
MART.SS.20190611,MART,6/11/2019 18:05,1.66,0.003,,857,41.7,,0.578,0.021,
MART.SS.20190620,MART,6/20/2019 17:52,3.32,0.007,,642,32.5,,0.293,0.011,
MART.SS.20190627,MART,6/27/2019 17:38,2.44,0.005,,686,34.7,,0.309,0.012,
MART.SS.20190709,MART,7/9/2019 17:55,1.25,0.002,,746,36.6,,0.348,0.013,
MART.SS.20190813,MART,8/13/2019 16:56,5.28,0.01,,995,46.7,,0.522,0.019,
MART.SS.20190910,MART,9/10/2019 16:27,5.23,0.01,,1026,49.3,,0.669,0.024,
MART.SS.20191015,MART,10/15/2019 17:30,0.01,0,BDL,845,47.4,,0.325,0.014,
MART.SS.20191031,MART,10/31/2019 17:38,1.96,0.005,,963,59.6,,0.498,0.024,
MART.SS.20191112,MART,11/12/2019 16:41,0.88,0.002,,1022,61.8,,0.327,0.015,
MART.SS.20191119,MART,11/19/2019 17:20,1.11,0.002,,1025,56.8,,0.425,0.018,
MART.SS.20191202,MART,12/2/2019 18:46,3.94,0.009,,675,43.1,,0.393,0.02,
MART.SS.20191210,MART,12/10/2019 17:21,16.1,0.037,,7558,455.8,,0.1,0.005,
MART.SS.20191217,MART,12/17/2019 18:08,1.74,0.004,,1608,97.1,,0.613,0.029,
MART.SS.20200114,MART,1/14/2020 20:39,0.01,0,BDL,1155,70.2,,0.39,0.019,
MART.SS.20200121,MART,1/21/2020 17:49,1.75,0.004,,1154,72.4,,0.379,0.019,
MART.SS.20200130,MART,1/30/2020 18:30,6.55,0.015,,1217,72.7,,0.442,0.021,
MART.SS.20200211,MART,2/11/2020 18:09,1.11,0.003,,1255,75.5,,0.352,0.017,
MART.SS.20200217,MART,2/17/2020 18:02,0.62,0.001,,884,55.4,,0.315,0.016,
MART.SS.20200304,MART,3/4/2020 17:52,2.21,0.005,,1021,61.3,,0.56,0.026,
MART.SS.20200310,MART,3/10/2020 16:27,3.06,0.007,,2887,181.9,,8.057,0.399,
MART.SS.20200319,MART,3/19/2020 17:55,0.01,0,BDL,746,46.9,,0.373,0.018,
MART.SS.20200714,MART,7/14/2020 20:48,32.19,0.06,,2909,136.3,,4.773,0.169,
MART.SS.20200721,MART,7/21/2020 18:09,0.01,0,BDL,2603,121.4,,1.423,0.05,
MART.SS.20200811,MART,8/11/2020 20:00,4.34,0.008,,1421,65,,0.738,0.026,
MART.SS.20200825,MART,8/25/2020 17:25,6.31,0.012,,2426,114,,1.126,0.04,
MART.SS.20200909,MART,9/9/2020 17:59,6.05,0.011,,3173,151.7,,1.461,0.053,
MAYF.RE.20200206,MAYF,2/6/2020 16:47,222.52,0.408,,2368,109.1,,1.049,0.037,
MAYF.SS.20150317,MAYF,3/17/2015 16:44,322.67,0.575,,2238,99.7,,0.454,0.015,
MAYF.SS.20160524,MAYF,5/24/2016 15:00,345.53,0.571,,3042,123.3,,0.667,0.02,
MAYF.SS.20160609,MAYF,6/9/2016 13:28,490.12,0.777,,3862,148.4,,0.604,0.017,
MAYF.SS.20160621,MAYF,6/21/2016 13:28,647.98,1.006,,4435,166,,0.459,0.013,
MAYF.SS.20160712,MAYF,7/12/2016 13:42,750.29,1.116,,4656,165.2,,0.43,0.011,
MAYF.SS.20160809,MAYF,8/9/2016 15:31,771.99,1.146,,4471,157.8,,1.187,0.031,
MAYF.SS.20160901,MAYF,9/1/2016 13:22,841.96,1.241,,4061,142.1,,1.688,0.043,
MAYF.SS.20160913,MAYF,9/13/2016 13:14,881.28,1.324,,3284,117.9,,1.312,0.035,
MAYF.SS.20161003,MAYF,10/3/2016 13:16,461.89,0.786,,1669,70,,1.167,0.037,
MAYF.SS.20161010,MAYF,10/10/2016 14:02,704.9,1.239,,2547,111.7,,2.152,0.071,
MAYF.SS.20161018,MAYF,10/18/2016 14:29,641.46,1.043,,3950,156.6,,5.062,0.149,
MAYF.SS.20161103,MAYF,11/3/2016 13:57,708.76,1.212,,3321,140.7,,2.751,0.087,
MAYF.SS.20161115,MAYF,11/15/2016 16:14,510.83,1.006,,2124,107.2,,2.862,0.111,
MAYF.SS.20161129,MAYF,11/29/2016 14:23,591.81,1.097,,4034,188.2,,1.57,0.055,
MAYF.SS.20161206,MAYF,12/6/2016 14:22,492.34,0.913,,3913,182.8,,0.461,0.016,
MAYF.SS.20161219,MAYF,12/19/2016 15:47,360.65,0.77,,1981,111.3,,0.595,0.026,
MAYF.SS.20170109,MAYF,1/9/2017 15:57,439.25,1.036,,1775,113,,0.664,0.033,
MAYF.SS.20170123,MAYF,1/23/2017 15:31,363.8,0.679,,2784,130.9,,0.875,0.031,
MAYF.SS.20170208,MAYF,2/8/2017 15:53,297.77,0.552,,3718,173.7,,0.935,0.033,
MAYF.SS.20170214,MAYF,2/14/2017 15:41,290.9,0.581,,2613,134.1,,0.736,0.029,
MAYF.SS.20170220,MAYF,2/20/2017 15:32,280.93,0.53,,3065,146.8,,0.943,0.034,
MAYF.SS.20170306,MAYF,3/6/2017 16:13,329.83,0.607,,2975,138.4,,1.266,0.045,
MAYF.SS.20170321,MAYF,3/21/2017 14:42,319.04,0.568,,3689,164.3,,1.04,0.035,
MAYF.SS.20170406,MAYF,4/6/2017 19:29,428.75,0.73,,3443,144.6,,0.822,0.026,
MAYF.SS.20170418,MAYF,4/18/2017 15:51,428.68,0.7,,4273,170.7,,0.845,0.025,
MAYF.SS.20170503,MAYF,5/3/2017 18:06,563.58,0.937,,4282,174.7,,1.689,0.051,
MAYF.SS.20170509,MAYF,5/9/2017 14:46,481.27,0.825,,3262,138.6,,1.132,0.036,
MAYF.SS.20170515,MAYF,5/15/2017 14:20,434.62,0.732,,2622,108.8,,0.754,0.023,
MAYF.SS.20170606,MAYF,6/6/2017 16:20,482.54,0.748,,3096,115.4,,0.787,0.022,
MAYF.SS.20170713,MAYF,7/13/2017 14:21,514.9,0.76,,5221,183.7,,1.267,0.033,
MAYF.SS.20170717,MAYF,7/17/2017 14:22,654.8,0.978,,4333,154.7,,0.925,0.024,
MAYF.SS.20170810,MAYF,8/10/2017 19:10,437.78,0.64,,2279,79.1,,0.572,0.015,
MAYF.SS.20170822,MAYF,8/22/2017 15:07,585.12,0.857,,3160,110,,0.475,0.012,
MAYF.SS.20170905,MAYF,9/5/2017 15:44,622.17,0.968,,2567,96.4,,0.832,0.023,
MAYF.SS.20170913,MAYF,9/13/2017 15:13,569.39,0.971,,2728,114.8,,0.495,0.016,
MAYF.SS.20171003,MAYF,10/3/2017 15:19,680.51,1.059,,3199,120.5,,0.773,0.022,
MAYF.SS.20171009,MAYF,10/9/2017 14:22,716.91,1.099,,4511,166,,0.818,0.022,
MAYF.SS.20171019,MAYF,10/19/2017 18:29,568.51,1.002,,2433,107,,0.516,0.017,
MAYF.SS.20171023,MAYF,10/23/2017 19:50,441.17,0.733,,2406,98,,0.55,0.017,
MAYF.SS.20171114,MAYF,11/14/2017 17:02,587.4,1.121,,3169,154.1,,0.822,0.031,
MAYF.SS.20171212,MAYF,12/12/2017 16:30,446.66,0.951,,2199,122.6,,0.55,0.024,
MAYF.SS.20180102,MAYF,1/2/2018 17:15,416.33,1.027,,2018,135.9,,0.396,0.021,
MAYF.SS.20180201,MAYF,2/1/2018 16:45,271.92,0.559,,1861,99.4,,0.678,0.028,
MAYF.SS.20180206,MAYF,2/6/2018 18:40,214.02,0.416,,2737,135.9,,0.826,0.031,
MAYF.SS.20180219,MAYF,2/19/2018 15:56,270.98,0.497,,2451,113.3,,0.501,0.018,
MAYF.SS.20180226,MAYF,2/26/2018 15:15,361.19,0.643,,2823,125.7,,0.605,0.02,
MAYF.SS.20180305,MAYF,3/5/2018 16:15,333.88,0.622,,2707,127.5,,0.332,0.012,
MAYF.SS.20180313,MAYF,3/13/2018 14:15,255.2,0.519,,1571,82.8,,0.411,0.017,
MAYF.SS.20180328,MAYF,3/28/2018 15:26,328.55,0.584,,1912,84.9,,0.452,0.015,
MAYF.SS.20180409,MAYF,4/9/2018 16:10,312.56,0.564,,1953,88.3,,0.49,0.017,
MAYF.SS.20180416,MAYF,4/16/2018 14:36,270.28,0.528,,1461,73.1,,0.001,0,BDL
MAYF.SS.20180501,MAYF,5/1/2018 14:46,200.26,0.359,,1447,65.1,,0.631,0.021,
MAYF.SS.20180510,MAYF,5/10/2018 16:09,459.06,0.746,,2403,95.5,,0.676,0.02,
MAYF.SS.20180605,MAYF,6/5/2018 13:30,525.29,0.838,,3229,125,,2.103,0.06,
MAYF.SS.20180611,MAYF,6/11/2018 14:40,680.68,1.031,,3271,118.6,,1.411,0.038,
MAYF.SS.20180702,MAYF,7/2/2018 15:01,798.34,1.167,,4159,144.3,,3.527,0.089,
MAYF.SS.20180712,MAYF,7/12/2018 14:27,751.61,1.089,,5430,186.5,,0.53,0.013,
MAYF.SS.20180807,MAYF,8/7/2018 14:30,578.64,0.843,,4010,138.7,,1.256,0.032,
MAYF.SS.20180830,MAYF,8/30/2018 15:25,983.19,1.471,,7319,261.6,,5.955,0.156,
MAYF.SS.20180904,MAYF,9/4/2018 17:51,835.68,1.217,,4868,168.2,,1.037,0.026,
MAYF.SS.20181002,MAYF,10/2/2018 18:00,947.67,1.422,,6116,219.6,,1.476,0.039,
MAYF.SS.20181008,MAYF,10/8/2018 14:33,884.48,1.358,,5609,207,,1.055,0.029,
MAYF.SS.20181107,MAYF,11/7/2018 21:54,742.58,1.299,,6308,274.2,,0.924,0.03,
MAYF.SS.20181113,MAYF,11/13/2018 15:43,640.88,1.186,,4312,201.5,,2.313,0.082,
MAYF.SS.20181204,MAYF,12/4/2018 15:56,446.63,0.896,,2690,139.2,,0.592,0.024,
MAYF.SS.20181211,MAYF,12/11/2018 15:35,353.25,0.734,,2200,119.2,,0.727,0.031,
MAYF.SS.20190103,MAYF,1/3/2019 14:45,35.87,0.067,,1903,90.2,,1.33,0.048,
MAYF.SS.20190124,MAYF,1/24/2019 14:41,246.46,0.506,,2066,109.8,,0.635,0.026,
MAYF.SS.20190131,MAYF,1/31/2019 15:43,311.38,0.702,,1384,83.1,,0.349,0.016,
MAYF.SS.20190205,MAYF,2/5/2019 14:58,276.06,0.513,,2173,102,,0.462,0.016,
MAYF.SS.20190219,MAYF,2/19/2019 15:20,274.54,0.541,,1817,92.1,,0.642,0.025,
MAYF.SS.20190225,MAYF,2/25/2019 20:12,220.57,0.403,,1550,71.5,,0.581,0.02,
MAYF.SS.20190305,MAYF,3/5/2019 14:51,287.23,0.606,,1101,60.8,,0.735,0.031,
MAYF.SS.20190318,MAYF,3/18/2019 14:05,326.62,0.652,,1605,82.7,,0.41,0.016,
MAYF.SS.20190402,MAYF,4/2/2019 14:30,307.61,0.588,,1385,67.4,,0.502,0.019,
MAYF.SS.20190404,MAYF,4/4/2019 14:00,296,0.554,,1525,72.3,,0.661,0.024,
MAYF.SS.20190418,MAYF,4/18/2019 13:37,389.69,0.67,,2236,95.1,,0.359,0.011,
MAYF.SS.20190430,MAYF,4/30/2019 14:00,401.08,0.688,,2317,98.5,,0.386,0.012,
MAYF.SS.20190509,MAYF,5/9/2019 13:35,388.34,0.625,,2245,87.9,,0.649,0.019,
MAYF.SS.20190604,MAYF,6/4/2019 14:45,452.16,0.69,,3020,110.7,,0.566,0.015,
MAYF.SS.20190612,MAYF,6/12/2019 14:55,465.79,0.739,,3183,121.8,,0.385,0.011,
MAYF.SS.20190702,MAYF,7/2/2019 14:10,535,0.801,,4514,161.5,,1.056,0.028,
MAYF.SS.20190717,MAYF,7/17/2019 13:33,552.67,0.81,,4558,158.6,,0.86,0.022,
MAYF.SS.20190806,MAYF,8/6/2019 13:40,450.37,0.678,,2606,93.8,,0.849,0.022,
MAYF.SS.20190826,MAYF,8/26/2019 13:35,830.92,1.245,,8230,294,,2.213,0.058,
MAYF.SS.20190903,MAYF,9/3/2019 14:32,614.66,0.931,,5000,181.4,,1.347,0.036,
MAYF.SS.20191001,MAYF,10/1/2019 17:07,636.9,0.954,,5232,187.2,,1.32,0.035,
MAYF.SS.20191009,MAYF,10/9/2019 14:19,710.46,1.142,,4086,159.8,,1.401,0.041,
MAYF.SS.20191105,MAYF,11/5/2019 14:56,535.91,1.028,,3065,150,,0.61,0.023,
MAYF.SS.20191113,MAYF,11/13/2019 17:12,607.89,1.319,,2147,122.7,,0.637,0.028,
MAYF.SS.20191203,MAYF,12/3/2019 15:10,551.97,1.178,,2196,122.7,,0.463,0.02,
MAYF.SS.20191212,MAYF,12/12/2019 15:15,419.59,0.887,,1652,91.5,,0.258,0.011,
MAYF.SS.20200107,MAYF,1/7/2020 14:50,279.2,0.539,,1468,72.3,,0.395,0.015,
MAYF.SS.20200121,MAYF,1/21/2020 15:09,314.29,0.689,,1160,67.3,,0.159,0.007,
MAYF.SS.20200204,MAYF,2/4/2020 15:07,309.71,0.584,,1316,62.9,,0.488,0.018,
MAYF.SS.20200213,MAYF,2/13/2020 15:20,213.47,0.386,,1577,71.5,,0.353,0.012,
MAYF.SS.20200303,MAYF,3/3/2020 15:41,219.91,0.395,,2420,108.6,,0.309,0.011,
MAYF.SS.20200311,MAYF,3/11/2020 14:01,274.56,0.495,,2258,102.2,,0.532,0.018,
MAYF.SS.20200317,MAYF,3/17/2020 13:44,337,0.58,,2128,90.7,,0.453,0.015,
MAYF.SS.20200707,MAYF,7/7/2020 14:32,539.16,0.804,,3983,141.7,,1.652,0.043,
MAYF.SS.20200713,MAYF,7/13/2020 19:15,561.13,0.822,,4094,142.3,,0.865,0.022,
MAYF.SS.20200803,MAYF,8/3/2020 14:10,607.01,0.902,,4427,156.7,,0.864,0.022,
MAYF.SS.20200810,MAYF,8/10/2020 13:00,598.8,0.876,,4056,140.9,,0.865,0.022,
MAYF.SS.20200901,MAYF,9/1/2020 14:57,630.67,0.929,,5123,179.4,,0.818,0.021,
MAYF.SS.20200908,MAYF,9/8/2020 14:09,510.09,0.788,,2970,110.4,,0.616,0.017,
MCDI.RE.20190313,MCDI,3/13/2019 18:34,17.57,0.038,,1211,67.9,,0.532,0.023,
MCDI.RE.20190507,MCDI,5/7/2019 14:25,39.82,0.074,,1580,73.7,,0.518,0.018,
MCDI.RE.20190521,MCDI,5/21/2019 17:12,37.61,0.074,,1403,69.8,,0.427,0.016,
MCDI.SS.20161213,MCDI,12/13/2016 16:40,15.12,0.036,,1011,64.6,,0.671,0.034,
MCDI.SS.20170214,MCDI,2/14/2017 16:14,23.32,0.053,,2372,142.4,,0.562,0.026,
MCDI.SS.20170306,MCDI,3/6/2017 16:47,47.4,0.093,,4631,228.4,,1.22,0.046,
MCDI.SS.20170314,MCDI,3/14/2017 16:34,24.03,0.056,,1918,119.5,,0.784,0.038,
MCDI.SS.20170406,MCDI,4/6/2017 9:30,10.63,0.022,,1725,92.8,,0.619,0.026,
MCDI.SS.20170411,MCDI,4/11/2017 11:51,14.02,0.027,,2134,103.9,,0.47,0.017,
MCDI.SS.20170417,MCDI,4/17/2017 1:00,42.83,0.079,,1683,78,,0.936,0.033,
MCDI.SS.20170501,MCDI,5/1/2017 1:00,22.72,0.044,,1430,71,,0.526,0.02,
MCDI.SS.20170508,MCDI,5/8/2017 11:00,83.93,0.149,,4621,202.3,,0.999,0.033,
MCDI.SS.20170515,MCDI,5/15/2017 10:49,71.54,0.123,,3834,161.6,,0.633,0.02,
MCDI.SS.20170522,MCDI,5/22/2017 9:30,41.68,0.077,,2788,129.5,,0.59,0.021,
MCDI.SS.20170531,MCDI,5/31/2017 10:15,59.11,0.103,,2759,118.1,,0.854,0.027,
MCDI.SS.20170605,MCDI,6/5/2017 14:35,63.25,0.108,,3036,126.7,,0.518,0.016,
MCDI.SS.20170612,MCDI,6/12/2017 16:45,88.14,0.141,,3659,141.2,,1.192,0.034,
MCDI.SS.20170619,MCDI,6/19/2017 13:57,98.65,0.169,,3863,162.6,,1.169,0.037,
MCDI.SS.20170627,MCDI,6/27/2017 18:13,87.37,0.145,,3296,133.1,,1.02,0.031,
MCDI.SS.20170712,MCDI,7/12/2017 15:17,69.59,0.108,,3927,146.2,,1.278,0.035,
MCDI.SS.20170718,MCDI,7/18/2017 15:40,89.33,0.144,,4915,190.8,,0.876,0.025,
MCDI.SS.20170808,MCDI,8/8/2017 15:50,46.73,0.078,,3883,157.9,,1.479,0.045,
MCDI.SS.20170815,MCDI,8/15/2017 15:05,50.61,0.083,,5638,224.9,,0.786,0.023,
MCDI.SS.20170911,MCDI,9/11/2017 13:20,98.92,0.172,,8560,365.9,,1.194,0.038,
MCDI.SS.20171010,MCDI,10/10/2017 14:53,196.95,0.356,,8078,364.2,,0.668,0.023,
MCDI.SS.20171031,MCDI,10/31/2017 17:30,82.74,0.17,,4997,263.8,,0.46,0.019,
MCDI.SS.20171114,MCDI,11/14/2017 17:06,160.78,0.33,,7859,414.6,,0.001,0,BDL
MCDI.SS.20171212,MCDI,12/12/2017 15:20,38.83,0.087,,3631,213.6,,0.615,0.028,
MCDI.SS.20180109,MCDI,1/9/2018 15:33,65.36,0.153,,4813,300.2,,0.684,0.033,
MCDI.SS.20180213,MCDI,2/13/2018 15:02,10.94,0.026,,424,27.1,,0.448,0.023,
MCDI.SS.20180306,MCDI,3/6/2018 15:35,81.24,0.182,,5013,296.4,,0.538,0.025,
MCDI.SS.20180313,MCDI,3/13/2018 16:15,94.39,0.208,,4147,240.2,,0.562,0.025,
MCDI.SS.20180328,MCDI,3/28/2018 15:36,59.51,0.126,,4693,258,,1.005,0.043,
MCDI.SS.20180409,MCDI,4/9/2018 15:05,127.93,0.277,,6507,367.1,,0.824,0.036,
MCDI.SS.20180411,MCDI,4/11/2018 14:43,149.05,0.317,,9420,518.3,,1,0.042,
MCDI.SS.20180416,MCDI,4/16/2018 14:45,89.95,0.193,,5634,314.6,,0.737,0.032,
MCDI.SS.20180425,MCDI,4/25/2018 19:15,100.08,0.2,,6939,353.8,,1.3,0.051,
MCDI.SS.20180508,MCDI,5/8/2018 14:58,320.74,0.556,,10456,444.6,,1.278,0.041,
MCDI.SS.20180514,MCDI,5/14/2018 15:35,1101.91,1.951,,23133,1011.7,,2.03,0.066,
MCDI.SS.20180516,MCDI,5/16/2018 16:53,810.66,1.421,,25156,1087.4,,1.885,0.061,
MCDI.SS.20180522,MCDI,5/22/2018 16:13,429.49,0.74,,12208,515.9,,1.395,0.044,
MCDI.SS.20180605,MCDI,6/5/2018 15:21,1146.7,2.026,,17104,745.9,,1.486,0.048,
MCDI.SS.20180612,MCDI,6/12/2018 15:15,2122.37,3.537,,22256,901.8,,1.346,0.04,
MCDI.SS.20180619,MCDI,6/19/2018 14:32,2205.78,3.472,,18961,715.3,,1.416,0.039,
MCDI.SS.20180627,MCDI,6/27/2018 15:22,1692.26,2.9,,24356,1021.8,,1.519,0.047,
MCDI.SS.20180718,MCDI,7/18/2018 14:47,1721.89,2.67,,13796,510.9,,0.664,0.018,
MCDI.SS.20180807,MCDI,8/7/2018 15:20,1527.25,2.323,,9548,345,,0.647,0.017,
MCDI.SS.20180813,MCDI,8/13/2018 14:36,1323.73,2.068,,9497,355.2,,0.627,0.017,
MCDI.SS.20180910,MCDI,9/10/2018 16:07,86.6,0.147,,3650,151.5,,0.818,0.025,
MCDI.SS.20181010,MCDI,10/10/2018 16:21,17.23,0.031,,1553,70.5,,0.632,0.022,
MCDI.SS.20181030,MCDI,10/30/2018 15:05,31.93,0.061,,2681,127.9,,0.508,0.018,
MCDI.SS.20181113,MCDI,11/13/2018 16:15,35.78,0.081,,1219,73.7,,0.319,0.015,
MCDI.SS.20181211,MCDI,12/11/2018 17:10,14.3,0.032,,1402,83.4,,0.317,0.015,
MCDI.SS.20190107,MCDI,1/7/2019 16:43,16.27,0.036,,1407,80.8,,0.501,0.022,
MCDI.SS.20190212,MCDI,2/12/2019 17:25,15.16,0.036,,865,54.5,,0.333,0.016,
MCDI.SS.20190311,MCDI,3/11/2019 15:54,14.26,0.033,,1230,76.2,,0.818,0.04,
MCDI.SS.20190325,MCDI,3/25/2019 16:04,25.69,0.053,,2206,118.5,,0.555,0.023,
MCDI.SS.20190402,MCDI,4/2/2019 14:31,27.72,0.06,,1235,69.7,,0.397,0.017,
MCDI.SS.20190409,MCDI,4/9/2019 15:55,34.76,0.068,,1290,63.9,,0.476,0.018,
MCDI.SS.20190416,MCDI,4/16/2019 16:33,68.81,0.129,,2457,115.7,,0.644,0.023,
MCDI.SS.20190501,MCDI,5/1/2019 19:59,35.04,0.066,,2119,101.3,,0.727,0.026,
MCDI.SS.20190513,MCDI,5/13/2019 18:08,19.57,0.035,,3257,146.8,,0.696,0.024,
MCDI.SS.20190515,MCDI,5/15/2019 16:23,30.87,0.056,,3971,179,,0.873,0.03,
MCDI.SS.20190604,MCDI,6/4/2019 15:35,27.91,0.048,,2836,120.3,,0.945,0.03,
MCDI.SS.20190611,MCDI,6/11/2019 15:01,23.42,0.041,,3463,151.4,,0.813,0.027,
MCDI.SS.20190620,MCDI,6/20/2019 18:44,37.89,0.064,,5163,213.2,,1.157,0.035,
MCDI.SS.20190701,MCDI,7/1/2019 15:30,29.51,0.047,,3113,120.5,,0.974,0.028,
MCDI.SS.20190715,MCDI,7/15/2019 15:30,43.66,0.072,,4885,194.6,,1.178,0.035,
MCDI.SS.20190717,MCDI,7/17/2019 14:50,48.99,0.08,,5854,231.1,,1.777,0.052,
MCDI.SS.20190806,MCDI,8/6/2019 15:30,84.12,0.135,,7379,284.9,,1.554,0.044,
MCDI.SS.20190813,MCDI,8/13/2019 15:10,38.4,0.06,,5947,223.7,,0.803,0.022,
MCDI.SS.20190909,MCDI,9/9/2019 14:20,48.88,0.08,,4163,166.2,,1.513,0.045,
MCDI.SS.20191007,MCDI,10/7/2019 15:02,43.12,0.08,,2646,122.8,,0.974,0.034,
MCDI.SS.20191028,MCDI,10/28/2019 14:42,40.15,0.09,,2280,134.4,,0.457,0.021,
MCDI.SS.20191112,MCDI,11/12/2019 18:20,42.71,0.099,,1750,108.3,,0.504,0.024,
MCDI.SS.20191210,MCDI,12/10/2019 18:02,37.75,0.089,,1747,109.9,,0.443,0.022,
MCDI.SS.20200114,MCDI,1/14/2020 15:34,10.26,0.023,,2634,157.8,,0.334,0.016,
MCDI.SS.20200211,MCDI,2/11/2020 15:58,17.06,0.038,,1170,69.1,,0.336,0.015,
MCDI.SS.20200309,MCDI,3/9/2020 16:10,26.41,0.055,,1832,97.8,,0.714,0.029,
MCDI.SS.20200311,MCDI,3/11/2020 15:53,14.16,0.03,,1211,67.6,,0.538,0.023,
MCDI.SS.20200608,MCDI,6/8/2020 15:34,100.33,0.163,,3223,126.6,,1.235,0.036,
MCDI.SS.20200617,MCDI,6/17/2020 15:52,140.65,0.225,,4766,184.2,,1.535,0.044,
MCDI.SS.20200630,MCDI,6/30/2020 13:17,197.98,0.323,,5478,215.6,,1.205,0.035,
MCDI.SS.20200706,MCDI,7/6/2020 13:00,237.19,0.379,,7401,284.8,,1.958,0.056,
MCDI.SS.20200715,MCDI,7/15/2020 14:22,306.2,0.482,,6999,264,,1.786,0.05,
MCDI.SS.20200805,MCDI,8/5/2020 15:08,32.55,0.053,,3608,143,,1.634,0.048,
MCDI.SS.20200812,MCDI,8/12/2020 14:50,46.21,0.072,,4598,170.6,,2.072,0.057,
MCRA.SS.20170620,MCRA,6/20/2017 18:06,2.5,0.006,,963,56.9,,1.418,0.065,
MCRA.SS.20170711,MCRA,7/11/2017 17:18,3.66,0.008,,1304,74.4,,0.835,0.037,
MCRA.SS.20170815,MCRA,8/15/2017 16:30,11.5,0.024,,931,50.5,,0.722,0.03,
MCRA.SS.20170919,MCRA,9/19/2017 18:25,0.93,0.002,,1245,73,,0.702,0.032,
MCRA.SS.20171017,MCRA,10/17/2017 16:27,0.46,0.001,,846,53.5,,0.594,0.029,
MCRA.SS.20171030,MCRA,10/30/2017 17:00,2.26,0.005,,792,49.1,,0.697,0.034,
MCRA.SS.20171114,MCRA,11/14/2017 18:08,1.11,0.003,,681,44.2,,0.623,0.032,
MCRA.SS.20171128,MCRA,11/28/2017 19:42,1.25,0.003,,781,50.6,,0.737,0.037,
MCRA.SS.20171205,MCRA,12/5/2017 18:49,3.44,0.009,,777,51.4,,0.687,0.036,
MCRA.SS.20171212,MCRA,12/12/2017 18:20,1.99,0.005,,720,47.8,,0.594,0.031,
MCRA.SS.20171218,MCRA,12/18/2017 19:10,0.64,0.002,,657,43,,0.479,0.025,
MCRA.SS.20180118,MCRA,1/18/2018 19:10,1.64,0.004,,644,41.8,,0.683,0.035,
MCRA.SS.20180123,MCRA,1/23/2018 19:27,0.52,0.001,,610,40.8,,0.586,0.031,
MCRA.SS.20180130,MCRA,1/30/2018 16:40,0.01,0,BDL,496,32.9,,0.477,0.025,
MCRA.SS.20180207,MCRA,2/7/2018 18:44,3.56,0.009,,595,38.6,,0.466,0.024,
MCRA.SS.20180221,MCRA,2/21/2018 18:46,2.02,0.005,,497,34.7,,0.398,0.022,
MCRA.SS.20180308,MCRA,3/8/2018 18:15,2.22,0.006,,635,43.8,,0.391,0.021,
MCRA.SS.20180314,MCRA,3/14/2018 18:33,0.01,0,BDL,633,42.8,,0.409,0.022,
MCRA.SS.20180322,MCRA,3/22/2018 16:59,0.7,0.002,,581,39.9,,0.329,0.018,
MCRA.SS.20180328,MCRA,3/28/2018 15:40,3.75,0.009,,552,36.9,,0.384,0.02,
MCRA.SS.20180417,MCRA,4/17/2018 17:00,4.39,0.011,,522,35.3,,0.709,0.038,
